[x[mm], Area[m], Velocity[m/s]],[Pressure[Pa], Temperature[K]]
0.132 7.7591e-05 25.3069 269982 403.142
0.133 7.75839e-05 25.3092 269982 403.142
0.134 7.75767e-05 25.3116 269982 403.142
0.135 7.75696e-05 25.3139 269982 403.142
0.136 7.75624e-05 25.3163 269981 403.142
0.137 7.75553e-05 25.3186 269981 403.142
0.138 7.75481e-05 25.3209 269981 403.142
0.139 7.7541e-05 25.3233 269981 403.142
0.14 7.75338e-05 25.3256 269981 403.142
0.141 7.75267e-05 25.328 269981 403.142
0.142 7.75195e-05 25.3303 269981 403.142
0.143 7.75124e-05 25.3327 269980 403.142
0.144 7.75052e-05 25.335 269980 403.142
0.145 7.74981e-05 25.3373 269980 403.142
0.146 7.7491e-05 25.3397 269980 403.141
0.147 7.74838e-05 25.342 269980 403.141
0.148 7.74767e-05 25.3444 269980 403.141
0.149 7.74695e-05 25.3467 269980 403.141
0.15 7.74624e-05 25.3491 269979 403.141
0.151 7.74553e-05 25.3514 269979 403.141
0.152 7.74481e-05 25.3538 269979 403.141
0.153 7.7441e-05 25.3561 269979 403.141
0.154 7.74338e-05 25.3585 269979 403.141
0.155 7.74267e-05 25.3608 269979 403.141
0.156 7.74196e-05 25.3631 269979 403.141
0.157 7.74124e-05 25.3655 269979 403.141
0.158 7.74053e-05 25.3678 269978 403.141
0.159 7.73982e-05 25.3702 269978 403.141
0.16 7.7391e-05 25.3725 269978 403.141
0.161 7.73839e-05 25.3749 269978 403.141
0.162 7.73768e-05 25.3772 269978 403.141
0.163 7.73696e-05 25.3796 269978 403.14
0.164 7.73625e-05 25.3819 269978 403.14
0.165 7.73554e-05 25.3843 269977 403.14
0.166 7.73482e-05 25.3866 269977 403.14
0.167 7.73411e-05 25.389 269977 403.14
0.168 7.7334e-05 25.3913 269977 403.14
0.169 7.73268e-05 25.3937 269977 403.14
0.17 7.73197e-05 25.396 269977 403.14
0.171 7.73126e-05 25.3984 269977 403.14
0.172 7.73055e-05 25.4007 269976 403.14
0.173 7.72983e-05 25.4031 269976 403.14
0.174 7.72912e-05 25.4054 269976 403.14
0.175 7.72841e-05 25.4078 269976 403.14
0.176 7.72769e-05 25.4101 269976 403.14
0.177 7.72698e-05 25.4125 269976 403.14
0.178 7.72627e-05 25.4148 269976 403.14
0.179 7.72556e-05 25.4172 269975 403.14
0.18 7.72485e-05 25.4195 269975 403.139
0.181 7.72413e-05 25.4219 269975 403.139
0.182 7.72342e-05 25.4243 269975 403.139
0.183 7.72271e-05 25.4266 269975 403.139
0.184 7.722e-05 25.429 269975 403.139
0.185 7.72128e-05 25.4313 269975 403.139
0.186 7.72057e-05 25.4337 269974 403.139
0.187 7.71986e-05 25.436 269974 403.139
0.188 7.71915e-05 25.4384 269974 403.139
0.189 7.71844e-05 25.4407 269974 403.139
0.19 7.71772e-05 25.4431 269974 403.139
0.191 7.71701e-05 25.4454 269974 403.139
0.192 7.7163e-05 25.4478 269974 403.139
0.193 7.71559e-05 25.4502 269974 403.139
0.194 7.71488e-05 25.4525 269973 403.139
0.195 7.71417e-05 25.4549 269973 403.139
0.196 7.71346e-05 25.4572 269973 403.139
0.197 7.71274e-05 25.4596 269973 403.138
0.198 7.71203e-05 25.4619 269973 403.138
0.199 7.71132e-05 25.4643 269973 403.138
0.2 7.71061e-05 25.4667 269973 403.138
0.201 7.7099e-05 25.469 269972 403.138
0.202 7.70919e-05 25.4714 269972 403.138
0.203 7.70848e-05 25.4737 269972 403.138
0.204 7.70777e-05 25.4761 269972 403.138
0.205 7.70706e-05 25.4785 269972 403.138
0.206 7.70634e-05 25.4808 269972 403.138
0.207 7.70563e-05 25.4832 269972 403.138
0.208 7.70492e-05 25.4855 269971 403.138
0.209 7.70421e-05 25.4879 269971 403.138
0.21 7.7035e-05 25.4903 269971 403.138
0.211 7.70279e-05 25.4926 269971 403.138
0.212 7.70208e-05 25.495 269971 403.138
0.213 7.70137e-05 25.4973 269971 403.138
0.214 7.70066e-05 25.4997 269971 403.137
0.215 7.69995e-05 25.5021 269970 403.137
0.216 7.69924e-05 25.5044 269970 403.137
0.217 7.69853e-05 25.5068 269970 403.137
0.218 7.69782e-05 25.5091 269970 403.137
0.219 7.69711e-05 25.5115 269970 403.137
0.22 7.6964e-05 25.5139 269970 403.137
0.221 7.69569e-05 25.5162 269970 403.137
0.222 7.69498e-05 25.5186 269969 403.137
0.223 7.69427e-05 25.521 269969 403.137
0.224 7.69356e-05 25.5233 269969 403.137
0.225 7.69285e-05 25.5257 269969 403.137
0.226 7.69214e-05 25.5281 269969 403.137
0.227 7.69143e-05 25.5304 269969 403.137
0.228 7.69072e-05 25.5328 269969 403.137
0.229 7.69001e-05 25.5351 269968 403.137
0.23 7.6893e-05 25.5375 269968 403.136
0.231 7.68859e-05 25.5399 269968 403.136
0.232 7.68788e-05 25.5422 269968 403.136
0.233 7.68717e-05 25.5446 269968 403.136
0.234 7.68646e-05 25.547 269968 403.136
0.235 7.68575e-05 25.5493 269968 403.136
0.236 7.68505e-05 25.5517 269967 403.136
0.237 7.68434e-05 25.5541 269967 403.136
0.238 7.68363e-05 25.5564 269967 403.136
0.239 7.68292e-05 25.5588 269967 403.136
0.24 7.68221e-05 25.5612 269967 403.136
0.241 7.6815e-05 25.5635 269967 403.136
0.242 7.68079e-05 25.5659 269967 403.136
0.243 7.68008e-05 25.5683 269966 403.136
0.244 7.67937e-05 25.5707 269966 403.136
0.245 7.67867e-05 25.573 269966 403.136
0.246 7.67796e-05 25.5754 269966 403.136
0.247 7.67725e-05 25.5778 269966 403.135
0.248 7.67654e-05 25.5801 269966 403.135
0.249 7.67583e-05 25.5825 269966 403.135
0.25 7.67512e-05 25.5849 269965 403.135
0.251 7.67441e-05 25.5872 269965 403.135
0.252 7.67371e-05 25.5896 269965 403.135
0.253 7.673e-05 25.592 269965 403.135
0.254 7.67229e-05 25.5944 269965 403.135
0.255 7.67158e-05 25.5967 269965 403.135
0.256 7.67087e-05 25.5991 269965 403.135
0.257 7.67017e-05 25.6015 269964 403.135
0.258 7.66946e-05 25.6038 269964 403.135
0.259 7.66875e-05 25.6062 269964 403.135
0.26 7.66804e-05 25.6086 269964 403.135
0.261 7.66733e-05 25.611 269964 403.135
0.262 7.66663e-05 25.6133 269964 403.135
0.263 7.66592e-05 25.6157 269964 403.134
0.264 7.66521e-05 25.6181 269964 403.134
0.265 7.6645e-05 25.6205 269963 403.134
0.266 7.6638e-05 25.6228 269963 403.134
0.267 7.66309e-05 25.6252 269963 403.134
0.268 7.66238e-05 25.6276 269963 403.134
0.269 7.66167e-05 25.63 269963 403.134
0.27 7.66097e-05 25.6323 269963 403.134
0.271 7.66026e-05 25.6347 269963 403.134
0.272 7.65955e-05 25.6371 269962 403.134
0.273 7.65885e-05 25.6395 269962 403.134
0.274 7.65814e-05 25.6418 269962 403.134
0.275 7.65743e-05 25.6442 269962 403.134
0.276 7.65673e-05 25.6466 269962 403.134
0.277 7.65602e-05 25.649 269962 403.134
0.278 7.65531e-05 25.6513 269962 403.134
0.279 7.6546e-05 25.6537 269961 403.134
0.28 7.6539e-05 25.6561 269961 403.133
0.281 7.65319e-05 25.6585 269961 403.133
0.282 7.65248e-05 25.6609 269961 403.133
0.283 7.65178e-05 25.6632 269961 403.133
0.284 7.65107e-05 25.6656 269961 403.133
0.285 7.65037e-05 25.668 269961 403.133
0.286 7.64966e-05 25.6704 269960 403.133
0.287 7.64895e-05 25.6728 269960 403.133
0.288 7.64825e-05 25.6751 269960 403.133
0.289 7.64754e-05 25.6775 269960 403.133
0.29 7.64683e-05 25.6799 269960 403.133
0.291 7.64613e-05 25.6823 269960 403.133
0.292 7.64542e-05 25.6847 269960 403.133
0.293 7.64472e-05 25.687 269959 403.133
0.294 7.64401e-05 25.6894 269959 403.133
0.295 7.6433e-05 25.6918 269959 403.133
0.296 7.6426e-05 25.6942 269959 403.132
0.297 7.64189e-05 25.6966 269959 403.132
0.298 7.64119e-05 25.699 269959 403.132
0.299 7.64048e-05 25.7013 269959 403.132
0.3 7.63978e-05 25.7037 269958 403.132
0.301 7.63907e-05 25.7061 269958 403.132
0.302 7.63837e-05 25.7085 269958 403.132
0.303 7.63766e-05 25.7109 269958 403.132
0.304 7.63695e-05 25.7133 269958 403.132
0.305 7.63625e-05 25.7156 269958 403.132
0.306 7.63554e-05 25.718 269958 403.132
0.307 7.63484e-05 25.7204 269957 403.132
0.308 7.63413e-05 25.7228 269957 403.132
0.309 7.63343e-05 25.7252 269957 403.132
0.31 7.63272e-05 25.7276 269957 403.132
0.311 7.63202e-05 25.7299 269957 403.132
0.312 7.63131e-05 25.7323 269957 403.132
0.313 7.63061e-05 25.7347 269957 403.131
0.314 7.6299e-05 25.7371 269956 403.131
0.315 7.6292e-05 25.7395 269956 403.131
0.316 7.6285e-05 25.7419 269956 403.131
