x:6.85657, V:125.106, Pressure:259228, iteration:1, T:403.087, f_new:997.798, dfdT:2216.49
x:6.85715, V:125.223, Pressure:259206, iteration:1, T:403.086, f_new:997.798, dfdT:2216.46
x:6.85773, V:125.341, Pressure:259185, iteration:1, T:403.085, f_new:997.8, dfdT:2216.43
x:6.8583, V:125.458, Pressure:259164, iteration:1, T:403.084, f_new:997.784, dfdT:2216.4
x:6.85888, V:125.575, Pressure:259143, iteration:1, T:403.083, f_new:997.789, dfdT:2216.37
x:6.85946, V:125.693, Pressure:259122, iteration:1, T:403.082, f_new:997.795, dfdT:2216.34
x:6.86004, V:125.811, Pressure:259101, iteration:1, T:403.081, f_new:997.803, dfdT:2216.31
x:6.86062, V:125.927, Pressure:259080, iteration:1, T:403.08, f_new:997.793, dfdT:2216.28
x:6.86119, V:126.044, Pressure:259059, iteration:1, T:403.079, f_new:997.784, dfdT:2216.25
x:6.86177, V:126.161, Pressure:259038, iteration:1, T:403.078, f_new:997.797, dfdT:2216.21
x:6.86235, V:126.278, Pressure:259016, iteration:1, T:403.077, f_new:997.792, dfdT:2216.18
x:6.86292, V:126.394, Pressure:258995, iteration:1, T:403.076, f_new:997.788, dfdT:2216.15
x:6.8635, V:126.511, Pressure:258974, iteration:1, T:403.075, f_new:997.786, dfdT:2216.12
x:6.86407, V:126.627, Pressure:258953, iteration:1, T:403.074, f_new:997.785, dfdT:2216.09
x:6.86465, V:126.744, Pressure:258932, iteration:1, T:403.073, f_new:997.786, dfdT:2216.06
x:6.86522, V:126.86, Pressure:258911, iteration:1, T:403.072, f_new:997.789, dfdT:2216.03
x:6.8658, V:126.976, Pressure:258890, iteration:1, T:403.071, f_new:997.793, dfdT:2216
x:6.86637, V:127.093, Pressure:258869, iteration:1, T:403.07, f_new:997.799, dfdT:2215.97
x:6.86694, V:127.208, Pressure:258848, iteration:1, T:403.069, f_new:997.787, dfdT:2215.94
x:6.86752, V:127.325, Pressure:258826, iteration:1, T:403.068, f_new:997.795, dfdT:2215.9
x:6.86809, V:127.44, Pressure:258805, iteration:1, T:403.067, f_new:997.786, dfdT:2215.87
