[x[mm], Area[m], Velocity[m/s]],[Pressure[Pa], Temperature[K]]
5.133 7.83712e-05 30.696 269997 403.15
5.134 7.83687e-05 30.697 269997 403.15
5.135 7.83661e-05 30.698 269997 403.15
5.136 7.83635e-05 30.699 269997 403.15
5.137 7.83609e-05 30.7 269997 403.15
5.138 7.83583e-05 30.7011 269997 403.15
5.139 7.83557e-05 30.7021 269997 403.15
5.14 7.8353e-05 30.7032 269997 403.15
5.141 7.83503e-05 30.7042 269997 403.15
5.142 7.83476e-05 30.7053 269997 403.15
5.143 7.83449e-05 30.7063 269996 403.15
5.144 7.83422e-05 30.7074 269996 403.15
5.145 7.83394e-05 30.7085 269996 403.15
5.146 7.83366e-05 30.7096 269996 403.15
5.147 7.83338e-05 30.7107 269996 403.15
5.148 7.8331e-05 30.7118 269996 403.15
5.149 7.83282e-05 30.7129 269996 403.15
5.15 7.83253e-05 30.714 269996 403.15
5.151 7.83224e-05 30.7152 269996 403.15
5.152 7.83196e-05 30.7163 269996 403.15
5.153 7.83166e-05 30.7175 269996 403.15
5.154 7.83137e-05 30.7186 269996 403.15
5.155 7.83108e-05 30.7198 269996 403.15
5.156 7.83078e-05 30.7209 269996 403.15
5.157 7.83048e-05 30.7221 269996 403.15
5.158 7.83018e-05 30.7233 269996 403.15
5.159 7.82988e-05 30.7245 269996 403.15
5.16 7.82957e-05 30.7257 269996 403.15
5.161 7.82927e-05 30.7269 269996 403.15
5.162 7.82896e-05 30.7281 269995 403.15
5.163 7.82865e-05 30.7293 269995 403.15
5.164 7.82833e-05 30.7306 269995 403.15
5.165 7.82802e-05 30.7318 269995 403.15
5.166 7.8277e-05 30.7331 269995 403.15
5.167 7.82739e-05 30.7343 269995 403.15
5.168 7.82707e-05 30.7356 269995 403.15
5.169 7.82674e-05 30.7368 269995 403.15
5.17 7.82642e-05 30.7381 269995 403.15
5.171 7.82609e-05 30.7394 269995 403.15
5.172 7.82577e-05 30.7407 269995 403.15
5.173 7.82544e-05 30.742 269995 403.15
5.174 7.8251e-05 30.7433 269995 403.15
5.175 7.82477e-05 30.7446 269995 403.15
5.176 7.82444e-05 30.746 269995 403.15
5.177 7.8241e-05 30.7473 269995 403.15
5.178 7.82376e-05 30.7486 269995 403.15
5.179 7.82342e-05 30.75 269994 403.15
5.18 7.82308e-05 30.7513 269994 403.15
5.181 7.82273e-05 30.7527 269994 403.15
5.182 7.82238e-05 30.7541 269994 403.15
5.183 7.82203e-05 30.7554 269994 403.15
5.184 7.82168e-05 30.7568 269994 403.15
5.185 7.82133e-05 30.7582 269994 403.15
5.186 7.82098e-05 30.7596 269994 403.15
5.187 7.82062e-05 30.761 269994 403.15
5.188 7.82026e-05 30.7624 269994 403.15
5.189 7.8199e-05 30.7639 269994 403.15
5.19 7.81954e-05 30.7653 269994 403.15
5.191 7.81917e-05 30.7667 269994 403.15
5.192 7.81881e-05 30.7682 269994 403.15
5.193 7.81844e-05 30.7696 269994 403.15
5.194 7.81807e-05 30.7711 269994 403.15
5.195 7.8177e-05 30.7726 269993 403.15
5.196 7.81732e-05 30.774 269993 403.15
5.197 7.81695e-05 30.7755 269993 403.15
5.198 7.81657e-05 30.777 269993 403.15
5.199 7.81619e-05 30.7785 269993 403.15
5.2 7.81581e-05 30.78 269993 403.15
5.201 7.81542e-05 30.7815 269993 403.15
5.202 7.81504e-05 30.7831 269993 403.15
5.203 7.81465e-05 30.7846 269993 403.15
5.204 7.81426e-05 30.7861 269993 403.15
5.205 7.81387e-05 30.7877 269993 403.15
5.206 7.81348e-05 30.7892 269993 403.15
5.207 7.81308e-05 30.7908 269993 403.15
5.208 7.81268e-05 30.7924 269993 403.15
5.209 7.81228e-05 30.794 269992 403.15
5.21 7.81188e-05 30.7956 269992 403.15
5.211 7.81148e-05 30.7971 269992 403.15
5.212 7.81108e-05 30.7987 269992 403.15
5.213 7.81067e-05 30.8004 269992 403.15
5.214 7.81026e-05 30.802 269992 403.15
5.215 7.80985e-05 30.8036 269992 403.15
5.216 7.80944e-05 30.8052 269992 403.15
5.217 7.80902e-05 30.8069 269992 403.15
5.218 7.80861e-05 30.8085 269992 403.15
5.219 7.80819e-05 30.8102 269992 403.15
5.22 7.80777e-05 30.8119 269992 403.15
5.221 7.80734e-05 30.8135 269992 403.15
5.222 7.80692e-05 30.8152 269991 403.15
5.223 7.80649e-05 30.8169 269991 403.15
5.224 7.80607e-05 30.8186 269991 403.15
5.225 7.80564e-05 30.8203 269991 403.15
5.226 7.8052e-05 30.822 269991 403.15
5.227 7.80477e-05 30.8237 269991 403.15
5.228 7.80433e-05 30.8255 269991 403.15
5.229 7.8039e-05 30.8272 269991 403.15
5.23 7.80346e-05 30.8289 269991 403.15
5.231 7.80301e-05 30.8307 269991 403.15
5.232 7.80257e-05 30.8325 269991 403.15
5.233 7.80212e-05 30.8342 269991 403.15
5.234 7.80168e-05 30.836 269991 403.15
5.235 7.80123e-05 30.8378 269990 403.15
5.236 7.80078e-05 30.8396 269990 403.15
5.237 7.80032e-05 30.8414 269990 403.15
5.238 7.79987e-05 30.8432 269990 403.15
5.239 7.79941e-05 30.845 269990 403.15
5.24 7.79895e-05 30.8468 269990 403.15
5.241 7.79849e-05 30.8487 269990 403.15
5.242 7.79803e-05 30.8505 269990 403.15
5.243 7.79756e-05 30.8523 269990 403.15
5.244 7.79709e-05 30.8542 269990 403.15
5.245 7.79662e-05 30.8561 269990 403.15
5.246 7.79615e-05 30.8579 269990 403.15
5.247 7.79568e-05 30.8598 269989 403.15
5.248 7.79521e-05 30.8617 269989 403.15
5.249 7.79473e-05 30.8636 269989 403.15
5.25 7.79425e-05 30.8655 269989 403.15
5.251 7.79377e-05 30.8674 269989 403.15
5.252 7.79329e-05 30.8693 269989 403.15
5.253 7.7928e-05 30.8713 269989 403.15
5.254 7.79232e-05 30.8732 269989 403.15
5.255 7.79183e-05 30.8751 269989 403.15
5.256 7.79134e-05 30.8771 269989 403.15
5.257 7.79084e-05 30.879 269989 403.15
5.258 7.79035e-05 30.881 269988 403.15
5.259 7.78985e-05 30.883 269988 403.15
5.26 7.78936e-05 30.885 269988 403.15
5.261 7.78886e-05 30.887 269988 403.15
5.262 7.78835e-05 30.889 269988 403.15
5.263 7.78785e-05 30.891 269988 403.15
5.264 7.78734e-05 30.893 269988 403.15
5.265 7.78683e-05 30.895 269988 403.15
5.266 7.78632e-05 30.897 269988 403.15
5.267 7.78581e-05 30.8991 269988 403.15
5.268 7.7853e-05 30.9011 269988 403.15
5.269 7.78478e-05 30.9032 269987 403.15
5.27 7.78427e-05 30.9052 269987 403.15
5.271 7.78375e-05 30.9073 269987 403.15
5.272 7.78322e-05 30.9094 269987 403.15
5.273 7.7827e-05 30.9115 269987 403.15
5.274 7.78217e-05 30.9136 269987 403.15
5.275 7.78165e-05 30.9157 269987 403.15
5.276 7.78112e-05 30.9178 269987 403.15
5.277 7.78059e-05 30.9199 269987 403.15
5.278 7.78005e-05 30.9221 269987 403.15
5.279 7.77952e-05 30.9242 269986 403.15
5.28 7.77898e-05 30.9263 269986 403.15
5.281 7.77844e-05 30.9285 269986 403.15
5.282 7.7779e-05 30.9306 269986 403.15
5.283 7.77736e-05 30.9328 269986 403.15
5.284 7.77681e-05 30.935 269986 403.15
5.285 7.77626e-05 30.9372 269986 403.15
5.286 7.77571e-05 30.9394 269986 403.15
5.287 7.77516e-05 30.9416 269986 403.15
5.288 7.77461e-05 30.9438 269986 403.15
5.289 7.77405e-05 30.946 269985 403.15
5.29 7.7735e-05 30.9482 269985 403.15
5.291 7.77294e-05 30.9505 269985 403.15
5.292 7.77238e-05 30.9527 269985 403.15
5.293 7.77181e-05 30.955 269985 403.15
5.294 7.77125e-05 30.9572 269985 403.15
5.295 7.77068e-05 30.9595 269985 403.15
5.296 7.77011e-05 30.9618 269985 403.15
5.297 7.76954e-05 30.964 269985 403.15
5.298 7.76897e-05 30.9663 269985 403.15
5.299 7.7684e-05 30.9686 269984 403.15
5.3 7.76782e-05 30.9709 269984 403.15
5.301 7.76724e-05 30.9733 269984 403.15
5.302 7.76666e-05 30.9756 269984 403.15
5.303 7.76608e-05 30.9779 269984 403.15
5.304 7.76549e-05 30.9803 269984 403.15
5.305 7.76491e-05 30.9826 269984 403.15
5.306 7.76432e-05 30.985 269984 403.15
5.307 7.76373e-05 30.9873 269984 403.15
5.308 7.76313e-05 30.9897 269983 403.15
5.309 7.76254e-05 30.9921 269983 403.15
5.31 7.76194e-05 30.9945 269983 403.15
5.311 7.76135e-05 30.9969 269983 403.15
5.312 7.76075e-05 30.9993 269983 403.15
5.313 7.76014e-05 31.0017 269983 403.15
5.314 7.75954e-05 31.0041 269983 403.15
5.315 7.75893e-05 31.0066 269983 403.15
5.316 7.75832e-05 31.009 269983 403.15
5.317 7.75771e-05 31.0114 269982 403.15
5.318 7.7571e-05 31.0139 269982 403.15
5.319 7.75649e-05 31.0164 269982 403.15
5.32 7.75587e-05 31.0188 269982 403.15
5.321 7.75525e-05 31.0213 269982 403.15
5.322 7.75463e-05 31.0238 269982 403.15
5.323 7.75401e-05 31.0263 269982 403.15
5.324 7.75339e-05 31.0288 269982 403.15
5.325 7.75276e-05 31.0313 269981 403.15
5.326 7.75213e-05 31.0339 269981 403.15
5.327 7.7515e-05 31.0364 269981 403.15
5.328 7.75087e-05 31.0389 269981 403.15
5.329 7.75024e-05 31.0415 269981 403.15
5.33 7.7496e-05 31.044 269981 403.15
5.331 7.74896e-05 31.0466 269981 403.15
5.332 7.74832e-05 31.0492 269981 403.15
5.333 7.74768e-05 31.0518 269981 403.15
5.334 7.74704e-05 31.0544 269980 403.15
5.335 7.74639e-05 31.057 269980 403.15
5.336 7.74574e-05 31.0596 269980 403.15
5.337 7.74509e-05 31.0622 269980 403.15
5.338 7.74444e-05 31.0648 269980 403.15
5.339 7.74379e-05 31.0674 269980 403.15
5.34 7.74313e-05 31.0701 269980 403.15
5.341 7.74247e-05 31.0727 269980 403.15
