[x[mm], Area[m], Velocity[m/s]],[Pressure[Pa], Temperature[K]]
0.133 7.75839e-05 31.0094 269973 403.138
0.134 7.75767e-05 31.0123 269972 403.138
0.135 7.75696e-05 31.0152 269972 403.138
0.136 7.75624e-05 31.0181 269972 403.138
0.137 7.75553e-05 31.0209 269972 403.138
0.138 7.75481e-05 31.0238 269972 403.138
0.139 7.7541e-05 31.0267 269971 403.138
0.14 7.75338e-05 31.0296 269971 403.138
0.141 7.75267e-05 31.0324 269971 403.138
0.142 7.75195e-05 31.0353 269971 403.138
0.143 7.75124e-05 31.0382 269971 403.137
0.144 7.75052e-05 31.0411 269970 403.137
0.145 7.74981e-05 31.044 269970 403.137
0.146 7.7491e-05 31.0468 269970 403.137
0.147 7.74838e-05 31.0497 269970 403.137
0.148 7.74767e-05 31.0526 269970 403.137
0.149 7.74695e-05 31.0555 269969 403.137
0.15 7.74624e-05 31.0584 269969 403.137
0.151 7.74553e-05 31.0612 269969 403.137
0.152 7.74481e-05 31.0641 269969 403.137
0.153 7.7441e-05 31.067 269969 403.137
0.154 7.74338e-05 31.0699 269968 403.136
0.155 7.74267e-05 31.0728 269968 403.136
0.156 7.74196e-05 31.0756 269968 403.136
0.157 7.74124e-05 31.0785 269968 403.136
0.158 7.74053e-05 31.0814 269967 403.136
0.159 7.73982e-05 31.0843 269967 403.136
0.16 7.7391e-05 31.0872 269967 403.136
0.161 7.73839e-05 31.09 269967 403.136
0.162 7.73768e-05 31.0929 269967 403.136
0.163 7.73696e-05 31.0958 269966 403.136
0.164 7.73625e-05 31.0987 269966 403.136
0.165 7.73554e-05 31.1016 269966 403.136
0.166 7.73482e-05 31.1045 269966 403.135
0.167 7.73411e-05 31.1074 269966 403.135
0.168 7.7334e-05 31.1102 269965 403.135
0.169 7.73268e-05 31.1131 269965 403.135
0.17 7.73197e-05 31.116 269965 403.135
0.171 7.73126e-05 31.1189 269965 403.135
0.172 7.73055e-05 31.1218 269965 403.135
0.173 7.72983e-05 31.1247 269964 403.135
0.174 7.72912e-05 31.1276 269964 403.135
0.175 7.72841e-05 31.1304 269964 403.135
0.176 7.72769e-05 31.1333 269964 403.135
0.177 7.72698e-05 31.1362 269964 403.134
0.178 7.72627e-05 31.1391 269963 403.134
0.179 7.72556e-05 31.142 269963 403.134
0.18 7.72485e-05 31.1449 269963 403.134
0.181 7.72413e-05 31.1478 269963 403.134
0.182 7.72342e-05 31.1507 269962 403.134
0.183 7.72271e-05 31.1535 269962 403.134
0.184 7.722e-05 31.1564 269962 403.134
0.185 7.72128e-05 31.1593 269962 403.134
0.186 7.72057e-05 31.1622 269962 403.134
0.187 7.71986e-05 31.1651 269961 403.134
0.188 7.71915e-05 31.168 269961 403.133
0.189 7.71844e-05 31.1709 269961 403.133
0.19 7.71772e-05 31.1738 269961 403.133
0.191 7.71701e-05 31.1767 269961 403.133
0.192 7.7163e-05 31.1796 269960 403.133
0.193 7.71559e-05 31.1825 269960 403.133
0.194 7.71488e-05 31.1854 269960 403.133
0.195 7.71417e-05 31.1882 269960 403.133
0.196 7.71346e-05 31.1911 269960 403.133
0.197 7.71274e-05 31.194 269959 403.133
0.198 7.71203e-05 31.1969 269959 403.133
0.199 7.71132e-05 31.1998 269959 403.132
0.2 7.71061e-05 31.2027 269959 403.132
0.201 7.7099e-05 31.2056 269958 403.132
0.202 7.70919e-05 31.2085 269958 403.132
0.203 7.70848e-05 31.2114 269958 403.132
0.204 7.70777e-05 31.2143 269958 403.132
0.205 7.70706e-05 31.2172 269958 403.132
0.206 7.70634e-05 31.2201 269957 403.132
0.207 7.70563e-05 31.223 269957 403.132
0.208 7.70492e-05 31.2259 269957 403.132
0.209 7.70421e-05 31.2288 269957 403.132
0.21 7.7035e-05 31.2317 269957 403.131
0.211 7.70279e-05 31.2346 269956 403.131
0.212 7.70208e-05 31.2375 269956 403.131
0.213 7.70137e-05 31.2404 269956 403.131
0.214 7.70066e-05 31.2433 269956 403.131
0.215 7.69995e-05 31.2462 269956 403.131
0.216 7.69924e-05 31.2491 269955 403.131
0.217 7.69853e-05 31.252 269955 403.131
0.218 7.69782e-05 31.2549 269955 403.131
0.219 7.69711e-05 31.2578 269955 403.131
0.22 7.6964e-05 31.2607 269954 403.131
0.221 7.69569e-05 31.2636 269954 403.13
0.222 7.69498e-05 31.2665 269954 403.13
0.223 7.69427e-05 31.2694 269954 403.13
0.224 7.69356e-05 31.2723 269954 403.13
0.225 7.69285e-05 31.2752 269953 403.13
0.226 7.69214e-05 31.2781 269953 403.13
0.227 7.69143e-05 31.281 269953 403.13
0.228 7.69072e-05 31.2839 269953 403.13
