[x[mm], Area[m], Velocity[m/s]],[Pressure[Pa], Temperature[K]]
1.33 6.94238e-05 34.6761 269692 403.019
1.34 6.93589e-05 34.7088 269689 403.017
1.35 6.92941e-05 34.7414 269687 403.016
1.36 6.92293e-05 34.7742 269684 403.015
1.37 6.91645e-05 34.8069 269681 403.014
1.38 6.90998e-05 34.8397 269679 403.013
1.39 6.90352e-05 34.8726 269676 403.012
1.4 6.89706e-05 34.9054 269673 403.011
1.41 6.89061e-05 34.9383 269671 403.009
1.42 6.88416e-05 34.9713 269668 403.008
1.43 6.87772e-05 35.0042 269665 403.007
1.44 6.87128e-05 35.0373 269663 403.006
1.45 6.86485e-05 35.0703 269660 403.005
1.46 6.85843e-05 35.1034 269657 403.004
1.47 6.85201e-05 35.1365 269655 403.003
1.48 6.84559e-05 35.1697 269652 403.001
1.49 6.83918e-05 35.2028 269649 403
1.5 6.83277e-05 35.2361 269646 402.999
1.51 6.82637e-05 35.2693 269644 402.998
1.52 6.81998e-05 35.3026 269641 402.997
1.53 6.81359e-05 35.3359 269638 402.996
1.54 6.80721e-05 35.3693 269635 402.994
1.55 6.80083e-05 35.4027 269633 402.993
1.56 6.79445e-05 35.4362 269630 402.992
1.57 6.78809e-05 35.4696 269627 402.991
1.58 6.78172e-05 35.5031 269624 402.99
1.59 6.77536e-05 35.5367 269622 402.989
1.6 6.76901e-05 35.5703 269619 402.987
1.61 6.76266e-05 35.6039 269616 402.986
1.62 6.75632e-05 35.6375 269613 402.985
1.63 6.74998e-05 35.6712 269610 402.984
1.64 6.74365e-05 35.705 269608 402.983
1.65 6.73732e-05 35.7387 269605 402.981
1.66 6.731e-05 35.7725 269602 402.98
1.67 6.72469e-05 35.8064 269599 402.979
1.68 6.71838e-05 35.8402 269596 402.978
1.69 6.71207e-05 35.8741 269594 402.977
1.7 6.70577e-05 35.9081 269591 402.975
1.71 6.69947e-05 35.9421 269588 402.974
1.72 6.69318e-05 35.9761 269585 402.973
1.73 6.6869e-05 36.0101 269582 402.972
1.74 6.68062e-05 36.0442 269579 402.97
1.75 6.67434e-05 36.0784 269576 402.969
1.76 6.66807e-05 36.1125 269574 402.968
1.77 6.66181e-05 36.1467 269571 402.967
1.78 6.65555e-05 36.181 269568 402.966
1.79 6.64929e-05 36.2153 269565 402.964
1.8 6.64304e-05 36.2496 269562 402.963
1.81 6.6368e-05 36.2839 269559 402.962
1.82 6.63056e-05 36.3183 269556 402.961
1.83 6.62433e-05 36.3527 269553 402.959
1.84 6.6181e-05 36.3872 269550 402.958
1.85 6.61188e-05 36.4217 269547 402.957
1.86 6.60566e-05 36.4562 269545 402.956
1.87 6.59944e-05 36.4908 269542 402.954
1.88 6.59324e-05 36.5254 269539 402.953
1.89 6.58703e-05 36.5601 269536 402.952
1.9 6.58084e-05 36.5948 269533 402.951
1.91 6.57464e-05 36.6295 269530 402.949
1.92 6.56845e-05 36.6642 269527 402.948
1.93 6.56227e-05 36.699 269524 402.947
1.94 6.5561e-05 36.7339 269521 402.945
1.95 6.54992e-05 36.7687 269518 402.944
1.96 6.54376e-05 36.8037 269515 402.943
1.97 6.53759e-05 36.8386 269512 402.942
1.98 6.53144e-05 36.8736 269509 402.94
1.99 6.52529e-05 36.9086 269506 402.939
2 6.51914e-05 36.9437 269503 402.938
2.01 6.513e-05 36.9788 269500 402.936
2.02 6.50686e-05 37.0139 269497 402.935
2.03 6.50073e-05 37.0491 269494 402.934
2.04 6.4946e-05 37.0843 269491 402.933
2.05 6.48848e-05 37.1196 269488 402.931
2.06 6.48236e-05 37.1549 269485 402.93
2.07 6.47625e-05 37.1902 269482 402.929
2.08 6.47015e-05 37.2255 269479 402.927
2.09 6.46405e-05 37.261 269475 402.926
2.1 6.45795e-05 37.2964 269472 402.925
2.11 6.45186e-05 37.3319 269469 402.923
2.12 6.44577e-05 37.3674 269466 402.922
2.13 6.43969e-05 37.403 269463 402.921
2.14 6.43362e-05 37.4386 269460 402.919
2.15 6.42755e-05 37.4742 269457 402.918
2.16 6.42148e-05 37.5099 269454 402.917
2.17 6.41542e-05 37.5456 269451 402.915
2.18 6.40936e-05 37.5813 269448 402.914
2.19 6.40331e-05 37.6171 269444 402.913
2.2 6.39727e-05 37.6529 269441 402.911
2.21 6.39123e-05 37.6888 269438 402.91
2.22 6.38519e-05 37.7247 269435 402.909
2.23 6.37916e-05 37.7607 269432 402.907
2.24 6.37314e-05 37.7966 269429 402.906
2.25 6.36712e-05 37.8327 269425 402.905
2.26 6.3611e-05 37.8687 269422 402.903
2.27 6.35509e-05 37.9048 269419 402.902
2.28 6.34908e-05 37.941 269416 402.901
2.29 6.34308e-05 37.9771 269413 402.899
2.3 6.33709e-05 38.0134 269410 402.898
2.31 6.3311e-05 38.0496 269406 402.897
2.32 6.32511e-05 38.0859 269403 402.895
2.33 6.31913e-05 38.1223 269400 402.894
2.34 6.31316e-05 38.1586 269397 402.892
2.35 6.30719e-05 38.195 269393 402.891
2.36 6.30122e-05 38.2315 269390 402.89
2.37 6.29526e-05 38.268 269387 402.888
2.38 6.28931e-05 38.3045 269384 402.887
2.39 6.28336e-05 38.3411 269380 402.885
2.4 6.27741e-05 38.3777 269377 402.884
2.41 6.27147e-05 38.4144 269374 402.883
2.42 6.26553e-05 38.4511 269371 402.881
2.43 6.2596e-05 38.4878 269367 402.88
2.44 6.25368e-05 38.5246 269364 402.878
2.45 6.24776e-05 38.5614 269361 402.877
2.46 6.24184e-05 38.5982 269357 402.876
2.47 6.23593e-05 38.6351 269354 402.874
2.48 6.23002e-05 38.672 269351 402.873
2.49 6.22412e-05 38.709 269347 402.871
2.5 6.21823e-05 38.746 269344 402.87
2.51 6.21234e-05 38.7831 269341 402.868
2.52 6.20645e-05 38.8202 269337 402.867
2.53 6.20057e-05 38.8573 269334 402.866
2.54 6.19469e-05 38.8945 269331 402.864
2.55 6.18882e-05 38.9317 269327 402.863
2.56 6.18295e-05 38.9689 269324 402.861
2.57 6.17709e-05 39.0062 269320 402.86
2.58 6.17124e-05 39.0436 269317 402.858
2.59 6.16538e-05 39.0809 269314 402.857
2.6 6.15954e-05 39.1183 269310 402.855
2.61 6.1537e-05 39.1558 269307 402.854
2.62 6.14786e-05 39.1933 269303 402.853
2.63 6.14203e-05 39.2308 269300 402.851
2.64 6.1362e-05 39.2684 269297 402.85
2.65 6.13038e-05 39.306 269293 402.848
2.66 6.12456e-05 39.3437 269290 402.847
2.67 6.11875e-05 39.3814 269286 402.845
2.68 6.11294e-05 39.4191 269283 402.844
2.69 6.10714e-05 39.4569 269279 402.842
2.7 6.10134e-05 39.4947 269276 402.841
2.71 6.09555e-05 39.5326 269272 402.839
2.72 6.08976e-05 39.5705 269269 402.838
2.73 6.08397e-05 39.6084 269265 402.836
2.74 6.0782e-05 39.6464 269262 402.835
2.75 6.07242e-05 39.6845 269258 402.833
2.76 6.06665e-05 39.7225 269255 402.832
2.77 6.06089e-05 39.7606 269251 402.83
2.78 6.05513e-05 39.7988 269248 402.829
2.79 6.04938e-05 39.837 269244 402.827
2.8 6.04363e-05 39.8752 269241 402.826
2.81 6.03788e-05 39.9135 269237 402.824
2.82 6.03214e-05 39.9518 269234 402.823
2.83 6.02641e-05 39.9902 269230 402.821
2.84 6.02068e-05 40.0286 269226 402.82
2.85 6.01495e-05 40.067 269223 402.818
2.86 6.00923e-05 40.1055 269219 402.817
2.87 6.00352e-05 40.144 269216 402.815
2.88 5.99781e-05 40.1826 269212 402.814
2.89 5.9921e-05 40.2212 269208 402.812
2.9 5.9864e-05 40.2599 269205 402.81
2.91 5.9807e-05 40.2986 269201 402.809
2.92 5.97501e-05 40.3373 269198 402.807
2.93 5.96933e-05 40.3761 269194 402.806
2.94 5.96365e-05 40.4149 269190 402.804
2.95 5.95797e-05 40.4538 269187 402.803
2.96 5.9523e-05 40.4927 269183 402.801
2.97 5.94663e-05 40.5316 269179 402.8
2.98 5.94097e-05 40.5706 269176 402.798
2.99 5.93531e-05 40.6096 269172 402.796
3 5.92966e-05 40.6487 269168 402.795
3.01 5.92401e-05 40.6878 269165 402.793
3.02 5.91836e-05 40.727 269161 402.792
3.03 5.91273e-05 40.7662 269157 402.79
3.04 5.90709e-05 40.8055 269153 402.788
3.05 5.90146e-05 40.8447 269150 402.787
3.06 5.89584e-05 40.8841 269146 402.785
3.07 5.89022e-05 40.9234 269142 402.784
3.08 5.8846e-05 40.9629 269138 402.782
3.09 5.87899e-05 41.0023 269135 402.78
3.1 5.87339e-05 41.0418 269131 402.779
3.11 5.86779e-05 41.0814 269127 402.777
3.12 5.86219e-05 41.121 269123 402.776
3.13 5.8566e-05 41.1606 269120 402.774
3.14 5.85102e-05 41.2003 269116 402.772
3.15 5.84543e-05 41.24 269112 402.771
3.16 5.83986e-05 41.2798 269108 402.769
3.17 5.83429e-05 41.3196 269104 402.767
3.18 5.82872e-05 41.3594 269100 402.766
3.19 5.82316e-05 41.3993 269097 402.764
3.2 5.8176e-05 41.4392 269093 402.762
3.21 5.81204e-05 41.4792 269089 402.761
3.22 5.8065e-05 41.5192 269085 402.759
3.23 5.80095e-05 41.5593 269081 402.758
3.24 5.79541e-05 41.5994 269077 402.756
3.25 5.78988e-05 41.6396 269073 402.754
3.26 5.78435e-05 41.6798 269070 402.753
3.27 5.77883e-05 41.72 269066 402.751
3.28 5.77331e-05 41.7603 269062 402.749
3.29 5.76779e-05 41.8006 269058 402.748
3.3 5.76228e-05 41.841 269054 402.746
3.31 5.75677e-05 41.8814 269050 402.744
3.32 5.75127e-05 41.9219 269046 402.742
